Disciplina
Web Programming for Back End
Machine Learning & CHATBOT
Eletiva: Containers & Kubernetes
Web Programming for Front End
Resolução Eficaz de Problemas
Design Web
Resolução Eficaz de Problemas
Eletiva: Containers & Kubernetes
Análise de Dados para Impacto Social
Design Web
Machine Learning & CHATBOT
Web Programming for Back End
Web Programming for Front End
Eletiva: Alta Performance em Processos Seletivos
Quality Assurance
"Disruptive Architectures: IOT, Big Data & IA"
Liderança Exponencial
Game Development
Gestão da Diversidade e Políticas de Inclusão
Mobile Development
Estágio Curricular Supervisionado na Educação Especial
Biogeografia
História das Ideias Pedagógicas
Medicina Nuclear e Diagnóstico por Imagem
Linguagens e Comunicação
"Perícia Contábil, Mediação e Arbitragem"
Processo Avançado de Técnicas em Enfermagem
Planejamento Estratégico e Empresarial
Modelagem de Sistemas Físico-Químicos
Ilustração Digital
Psicopatologia Adulto e Idoso
Teorias da Administração
Database Modeling & SQL/NoSQL
Esportes Coletivos: Futebol e Futsal
Advocacia 4.0
Brinquedoteca e Ludicidade na Educação
"Exames Radiológicos Crânio, Face e MMSS e MMII"
Ética e Legislação Profissional
Business Management & E-Commerce
ESG: Sustentabilidade das Organizações
Eletiva: Enfermagem Forense
Ginástica Geral
Enfermagem no Processo das Afecções Cirúrgicas
Psicologia e Comportamento Organizacional
Gestão Financeira e Contábil
Inovações Farmacêuticas
Enfermagem Baseada em Evidências
Projeto Integrador Orientado: Metodologia da Pesquisa Científica
Didática Geral
Computational Logical using Python
Psicopatologia da infância e da adolescência e psicoterapia comportamental
Gestão do Fluxo de Caixa
Direito Previdenciário
Pesquisa Clínica
Serviço Social e Saúde
Oficinas de Tecnologias Educacionais
Security in IoT and Artificial Intelligence
Projeto Integrador Orientado: Introdução à Gestão 4.0
Gestão em Radiologia e Biossegurança
Avaliação de Saúde e Anamnese 
Cálculo: Integrais
Direito Internacional
Estágio Curricular Supervisionado IV
Dificuldades e Transtornos de Aprendizagem
Gestão de Segurança em Grandes Eventos
Microbiologia e Parasitologia Humana
Planejamento Estratégico de Comunicação
Fundamentos da Contabilidade
Planejamento e Projeto Político Pedagógico
"Storage: Block, File and Object"
Análise de Decisão
Projeto de Segurança
PRODUÇÃO AUDIOVISUAL
Projeto Integrador Orientado: Empreendedorismo Digital e Novos Negócios
Bioquímica 
Scalability and Monitoring of Applications and Services
Softwares Empresariais: ERP e CRM
"Exames Radiológicos Tórax, Abdome, Pelve e Coluna Vertebral"
Desenvolvimento de Recursos Humanos
Serviço Social na Contemporaneidade
Programming to Data Science – R and Python Integration
Bioquímica Estrutural
Data Structure Strategy and Implementation
Estágio Supervisionado em Eng. Elétrica II
Procedimentos Básicos na Assistência ao Cuidar
Saúde Pública e Epidemiologia
Prática de Registros e Relatórios Escolares
Trabalho Final de Graduação II
Eletiva: Engenharia e Usabilidade de Interfaces
Gestão de Custos para Tomada de Decisão
"Estágio VI: Núcleo de Fármacos, Medicamentos, Assistência Farmacêutica e Cosméticos III"
"Social Media: Campanhas no Facebook, Instagram e Tik Tok"
Preceitos Bioéticos em Saúde
Estratégias Competitivas e Pesquisa de Marketing
Microcontroladores e Sistemas Embarcados
Eletiva: Qualidade de Software
Políticas Públicas de Saúde e Redes de Ações à Saúde
Teorias e técnicas psicoterápicas psicodinâmicas
Proteção Social Brasileira
Modelagem de Sistemas Físico-Químicos
Conteúdos de Matemática para Educação Infantil e Ensino Fundamental Anos Iniciais
Ética e Prática Profissional em Engenharia
Softwares Empresariais
"Security, Disaster Recovery and Cloud Backup"
Contabilidade de Tributos Indiretos
Alta Performance em Processos Seletivos
Tomografia Computadorizada e Inovações em Radiologia
Topografia e Sistemas de Georreferenciamento
Bases Anatomorfofuncionais dos Sistemas
Sociedades Empresariais
Biomorfofuncional
Literatura de Expressão Portuguesa: Textos Fundadores e Percursos 
Estágio Curricular Supervisionado em Administração II
Teoria Econômica
Organização e Arquitetura de Computadores
Server and Data Center Administration
"Direito, Informática e Internet"
Anatomia do Aparelho Locomotor
Projeto de Arquitetura: Habitação
Análise de Demonstrações Financeiras e Contábeis
It Financial Management
Projeto Integrador Orientado: Raciocínio Clínico
Smart House & Instalações Prediais
Computer Network
Projeto de Urbanismo e Paisagismo: Parcelamento do Solo
Marketing de Serviços e Relacionamento
Extensão em Eng. da Computação II
Deontologia e Legislação Farmacêutica
Políticas Sociais e Educacionais em Psicopedagogia
Física e Concepção Estrutural
Estágio Curricular de Educação Física no Ensino Fundamental I
Gestão de Recursos Humanos
Tópicos de Marketing
Compiladores
Web Programming For Front End
Gestão de Estoque e Cadeia de Suprimentos
Incubadora de Negócios
Introdução ao Estudo do Direito
Espaço da Cultura Brasileira: Sexualidade e Diversidade de Gênero
Análise e Tecnologia de Alimentos
Farmacologia Avançada
Tópicos Avançados em Administração
Modelagem e Simulação de Sistemas de Produção
Extensão em Radiologia III - Inovações em Radiologia
Campanhas no Facebook e Instagram
Eletiva: Sistema de Informações em Saúde
Parasitologia e Microbiologia 
"Fotografia, Mídias Digitais e Marketing "
Direito Administrativo: Licitações e contratos
"Planejamento, Organização e Gestão em Serviços de Saúde"
Psicopatologia
Eletiva: Psicofármacos
Trabalho de conclusão de curso II em Psicologia
Teoria Geral das Obrigações
"Attacks, Vulnerabilities and Malicious Codes"
Hidráulica: Condutos Forçados e Instalações Elevatórias
"Manifestações Culturais, Rítmicas e Expressivas"
Employer Branding: Atraia e Retenha Talentos
Ética Profissional do Contador
Gestão de Custos e Desempenhos Logísticos 
Técnicas de SPA
Empreendedorismo e Tecnologia em Psicologia
"Marketing 5.0: Fundamentos, Tecnologia e Inteligência Artificial"
Gestão Estratégica de Pessoas
"Apresentações, Documentos e Planilhas Básico"
Citologia Oncótica
Interiores Comerciais & Visual Merchandising
Expressão e comunicação em imagem e vídeo
Tópicos especiais em farmácia
Neurociência e Psicopedagogia
Estágio Curricular Supervisionado II
Leitura e Produção Textual
Projeto Integrador Orientado: Cultura e Contemporaneidade
Teoria Elementar Dos Números
Extensão em Pedagogia: Práticas de Alfabetização e Letramento: Matemática
"Multi-Cloud Solutions, Hybrid Clouds and Cloud Migration"
Sistemas de Incentivo e Engajamento de Colaboradores
Modelagem de Sistemas Ópticos e Ondulatórios
Arquitetura High Tech e Low Tech
Projeto Integrador Orientado: Pesquisa em Serviço Social
Tópicos de Serviço Social
Treinamento Personalizado
Strategy and Business Model
Dificuldades de Aprendizagem
Nutrição e Nutricosméticos
Intrusion Test for Hackers (Pentest)
Teoria e Técnica em Psicanálise
"Google Ads, Analytics e SEO"
Ética em Psicologia
Teoria Geral do Crime
Engajamento nas Redes
Contabilidade Empresarial
Comunicação Empresarial
Projeto de Instalações Elétricas Residenciais
"Saúde, Segurança e Qualidade de Vida no Trabalho"
KPI's e Tomada de Decisão
Bioquímica Geral
Química Geral
Geopolítica e Relações Internacionais
Fundamentos De Geociências
Trabalho de Curso III
Legislação Trabalhista e Previdenciária 
Segurança e Manutenção da Ordem Pública
Organização da Administração Pública
Tecnologia dos Materiais Elétricos
"Mecânica dos Solos, das Rochas e Elementos de Geologia "
Artes e o Brincar: A Construção das Infâncias
Alfabetização e Práticas Pedagógicas
Informática
Raciocínio Clínico e Preceitos Bioéticos em Saúde
IT Projects and Governance
Teoria da Empresa
Contratos
Design de Interface
Computational Thinking
Psicologia Aplicada a Saúde
Mecanismos de Agressão e Defesa
Crimes contra o Patrimônio
Ciclo Reprodutivo e Puerperal
Aspectos Celulares e Genéticos
Extensão em Pedagogia: Práticas Inclusivas
Serviço Social e Processo de Envelhecimento
"Projeto Executivo, Acessibilidade e Desenho Universal"
Planejamento Integrado em Marketing
Física Radiológica
Projetos de Circuitos Eletrônicos: Diodos e Transistores
Consultoria de Recursos Humanos
Eletiva: Retórica do Discurso
Tecnologia da Informação e Comunicação Educacional
Conteúdos de Matemática para Educação Infantil e Ensino Fundamental Séries Iniciais
Cálculo: Limites e Derivadas
"Práticas e Técnicas de Admissão, Recrutamento e Seleção"
Extensão em Eng. da Computação I
Direito Econômico e Financeiro
Projeto Integrador Orientado: Bioética
Atividades Físicas para Grupos Especiais
Eletiva: Psicologia Fenomenológica - Ênfase Clínica
Fundamentos Filosóficos do Serviço Social
Matemática Financeira
Cloud DevOps: Orchestrating Containers and Micro Services
Fisiologia Neuro-Endócrina
Interiores Residenciais
Práticas de Ensino em Língua e Literatura
UX/UI Design & Design Thinking
ELETIVA: Gestão Esportiva e Organização de Eventos em Esporte e Lazer
Electronic Law
Projeto de Ergonomia e Mobiliário
Técnicas Instrumentais Aplicadas à Farmácia
"Design e Marketing - Projeto, Produto e Conexões"
Machine Learning & CHATBOT
Design Web
Fundamentos Da Psicopedagogia
Enfermagem no Processo das Afecções Clinicas
Educação Permanente em Saúde
Fundamentos e Práticas – Cênicas I
"Corpo, Movimento e Psicomotricidade"
Análise Antropológica dos Alimentos
Inovação Tecnológica
Segurança Pessoal e Privada
Didáticas para a Alfabetização e Letramento
Farmacologia Biomédica
Workspaces & Interiores Corporativo
Empreendedorismo Digital e Novos Negócios
Estágio Supervisionado II em Psicologia - Ênfase Saúde
Planilhas Avançado
Quality Assurance
Histologia e Embriologia Humana
Machine Learning using Phyton
Psicologia social
Técnicas Avançadas do Processo de Cuidar
História da Química
Enfermagem em Doenças Transmissíveis
Estágio Curricular Supervisionado na Gestão Educacional
"Estágio IV: Núcleo de Fármacos, Medicamentos, Assistência Farmacêutica e Cosméticos I"
"Gestão do Conhecimento, Inteligência e Contrainteligência"
Game Development
Patologia Aplicada
Clima e Cultura Organizacional
Temas Atuais em Educação Física
A Atuação do Assistente Social no SUAS
Analytics e Business Intelligence
Psicomotricidade
Marketing 4.0
Desenvolvimento e Aprendizagem Motora
Esportes Coletivos: Voleibol
Estágio Curricular Supervisionado em Ambientes Não Escolares
Estágio Curricular Supervisionado em Administração I
Didática para Alfabetização e Letramento
Gestão de Projetos
Advanced Databases and Big Data
Novos Modelos de Gestão
"Serviço Social, Gênero e Diversidade Sexual"
Economia - Macro e Micro
User and Customer Experience
Enfermagem no Contexto Histórico e Social
Application Security Management
Empreendedorismo e Captação de Recursos
"Ética, Legislação em Marketing e Direito do Consumidor"
Deontologia e Introdução à Ciência Radiológica
Tópicos Educacionais - História e Cultura Africana e Indígena
Natural Language Processing and Information Retrieval Systems
Data Safety
User Experience
Projetos de Sinalização e Sinalética 
Estágio Curricular Supervisionado no Ensino Fundamental: Séries Iniciais
Esportes e Atividades Aquáticas
Estágio: Educação Física- Ensino Médio e EJA
Sistematização da Assistência de Enfermagem
Estágio Curricular Supervisionado em Contabilidade I
Tutela Provisória e Recursos Cíveis
Educação Brasileira: Estrutura e Bases Legais
A atuação do Assistente Social no Combate a Violência Contra Mulher
Estágio Curricular Supervisionado em Contabilidade II
Tendências em Administração
Statistical Inference
Tópicos Especiais em Radiologia
Tópicos de Segurança Privada
Software Engineering
Radioterapia
Práticas Biomédicas em Estética: Peelings e laserterapia
Exponential Technologies in the Corporate Environment
Casa e Arquitetura Brasileira
"A criança, a Infância e as Instituições"
Metodologia do Treinamento Esportivo
Artificial Intelligence in Cloud Applications
Captação e Gerenciamento de Recursos Públicos
Comércio Exterior e Marketing Internacional
Armamento e Munições
Oncologia Clínica e Tratamento
Psicologia Juridica e Direitos Humanos
Exploratory Data Analysis and Visualization
Eletiva: Controle de Qualidade e Cálculo de Blindagens
"Publicidade, Propaganda e Promoção"
Ciência Atuarial
Políticas Públicas em Saúde
Psicologia da Educação
LIBRAS
Trabalho de Curso II
Projeto de Cenários 
Copywriting e Estratégias de Lançamentos
A Tributação no Brasil
Biomedicina: histórico e perspectivas
Arte e Educação
Procedimentos Especiais e Juizados Especiais Cíveis
Inovação em Gestão Estratégica de Pessoas
Computacional Thinking
Teoria Geral do Processo
Algoritmos e Estrutura de Dados
DIY! Primeiros Passos para Empreender
Probability and Statistics
Inbound e Outbound Marketing
Política de Atenção à Saúde da Mulher e do Homem
Psicologia
Logística: E-commerce e Omnichannel
Embriologia Humana e Histologia
Eletiva: Psicossomática - Ênfase Saúde 
Comunicação Assertiva e Negociação
Legislação de segurança pessoal e Privada
Neurociência e Desenvolvimento Infantil
Direito do Consumidor
Ações Educativas na Prática de Enfermagem
Estágio: Educação Física Bacharelado II
Linguagem Corporal
Psicologia na Educação
Processo de Saúde na Criança e Adolescente
Empreendedorismo
Fotografia: Produção e Tratamento de Imagem
Fundamentos Da Educação Especial
Estágio Curricular de Educação Física na Educação Infantil
Fenômenos de Transporte 
Medicina Nuclear
Segurança Física das Instalações
Psicossomática
Saúde Mental e Assistência às Pessoas com Transtornos
Tópicos de Logística e de Transporte
Negócios Digitais: E-Commerce e Marketplace
Arquitetura Brasileira
Ginástica Geral e Artística
Marketing Aplicado à Nutrição
Eletiva: Orientação Profissional: Ênfase Escolar 
Planilhas Avançado e VBA
Educação Corporativa: Treinamento e Desenvolvimento
Enfermagem na Saúde da Criança e Adolescente
Enfermagem no Contexto Histórico Social e Exercício Profissional da Enfermagem
Estágio Curricular Supervisionado na Educação Infantil
Eletiva: Abordagem Sistêmica - Ênfase Escolar
Projeto de Arquitetura: Projeto Legal
Sistemas Operacionais
Fundamentos Filosóficos da Educação
Eletiva: Formação do Educador para o 3º setor
Projeto de Urbanismo e Paisagismo: Cidade para pessoas
Bromatologia e Tecnologia dos Alimentos
Comportamento do Consumidor
Transtornos Alimentares e Psicologia
"UX, Design Thinking e Interfaces Digitais"
Direito do Trabalho
Análise de Sinais e Sistemas Dinâmicos
Ressonância Magnética e Eletromagnetismo
Windows Services Applications
Antropologia Social
Direito dos Negócios
"Disruptive Architectures: IOT, Big Data e IA"
Vida e Carreira na Radiologia
Tomografia Computadorizada
Compliance e Governança Corporativa
Web Programmimg For Back End
Sistema Público de Escrituração Digital (SPED): obrigações acessórias
Densitometria Óssea e Radiologia Forense
Projeto Integrador Orientado: Políticas Públicas de Saúde
Anatomia Humana
Gerenciamento de Conflitos e Crises
Comércio e Logística Internacional
"Gestão de Pessoas, Obras e Orçamentos"
Sistemas de Informação
Exame Clínico
Contabilidade Aplicada ao Setor Público
Modelagem de Sistemas Elétricos e Eletromagnéticos
Planejamento Urbano e Territorial
Projeto de Arquitetura: Diversidade de Usos
Modelagem de Sistemas Mecânicos
"Modelos Gerenciais e Assistenciais em CC, CME e RPA"
Genética e Biotecnologia
Gestão da Diversidade e Políticas de Inclusão
Biossegurança e Boas Práticas Laboratoriais
Didáticas para o Ensino da Língua Portuguesa
Responsive Web Development (Back end)
Circuitos Lógico-Digitais
Economia e Mercado
Bases Neurológicas da Aprendizagem
Gestão Pública e Segurança
Logística e Distribuição Física
Análises Clínicas: Módulo Parasitologia e Microbiologia
Administração Financeira e Orçamentária 
Homem e Sociedade 
Segurança Bancária e Transporte de Valores
Radiologia Odontológica e Legislação em Radiologia
Economia Política
Database and Big Data in the Cloud
Linux Services Applications
Cultura Digital: O Educador do Século XXI
Esportes Coletivos: Handebol e Basquetebol
Assistência ao Paciente em Estado Crítico
 Gestão de Unidades de Alimentação e Nutrição
Extensão em Serviço Social II
Programação visual
Gestão de Projetos em Saúde
Conversão de Energia
Tópicos Avançados em Ciências Contábeis
Meios de Contraste em Radiologia
Estágio supervisionado em Farmácia III
Hematologia Básica
História da Arquitetura e do Habitat
Microbiologia e Parasitologia Básica
Ética e Responsabilidade Socioambiental
Introdução Aos Estudos Literários
A origem da desigualdade Social no Brasil
Diversificação e Aprofundamentos de Estudos - Pesquisa em Educação
Produção Gráfica
Termodinâmica
Mobile Development
Matemática
Comportamento Organizacional
Discovery & UX Research
Eletiva: Administração de Clínicas de Estética
Resolução Eficaz de Problemas
Planejamento Estratégico de Segurança
Anatomia Radiológica
Conforto Acústico e Lighting Design
Gestão do Sistema Prisional
Metodologias Ativas de Aprendizagem na Educação 
Direito Eleitoral
Design de Conteúdo
Espaço da Cultura Brasileira: História e Cultura Africana e Indígena
História Da Antiguidade Clássica
Métodos Ágeis
IT Infrastructure Management
Linguagem em Um Mundo Globalizado
"Data Science, Machine Learning and Data Mining"
Eletiva: Psicologia Humanista - Ênfase Clínica
Psicoterapia de Grupo
História Medieval Ocidental
Bioquímica e Biofísica
Hardware Programável e Reconfigurável
Computational Thinking Using Python
Tendências de Atividades de Academia e Clubes
Física Para Ciências Biológicas
Radiologia Veterinária
Terapia Cognitivo-Comportamental
Direito Digital
Gestão de Cargos e Salários
Cálculo para Medicações
Cyber Security
Bases Anatomofuncionais dos Sistemas
UX Writing
Psicologia Geral
Gestão da Manutenção
Contabilidade Aplicada ao 3º Setor
"Administração de Produção, Materiais e Logística"
Gestão de Transportes e Armazenagem
Bioimagem e Exames Laboratoriais
Reprodução Assistida
Filosofia da Educação
Planejamento de Vendas e Operações
Psicologia aplicada à Nutrição
Introdução a segurança privada
Development With Python
Projeto Integrador Orientado: Cálculo de Medicação
Mercado e Inovação em Educação Física
Enfermagem no Centro Cirúrgico e Central de Material e Esterelização e Recuperação Pós-Anestésica
Metodologias Das Ciências Sociais
Raciocínio Lógico-Matemático
Gestão Técnica de Segurança Privada e Equipamentos
Educação Alimentar e Nutricional
Organização do Estado
Estágio Curricular Supervisionado III
Função da Gestão Educacional
Estágio Supervisionado IV em Psicologia - Ênfase Saúde
"Estágio Supervisionado em Análises Clínicas, Toxicologia e Alimentos I"
Anatomia Humana e Funcional
Processo de Sistematização da Assistência de Enfermagem
Técnica Dietética
Ecodesign
Valuation e Projetos de Investimento
Criminologia
Tópicos de Direito
Cloud Content Delivery and Networks
Smart Cities & Resiliência Urbana
Avaliação Nutricional
Desenho de Elementos Arquitetônicos
Contabilidade Integral
Eletiva - Psicofarmacologia- Ênfase Saúde
Mathematical Logical
Estágio Supervisionado em Direito IV
Eletiva: Psicoterapia Breve - Ênfase Escolar
Processos Históricos e Éticos do Cuidar
"Estágio Superviosionado em Análises Clínicas, Toxicologia e Alimentos II"
Fatos e Negócio Jurídico
Liderança Exponencial
Development Tools & Cloud Computing
Eletiva: BI - Business Inteligent
Liderança e Gestão Estratégica de Pessoas
Administração de Servidores e Data Centers
Radiologia Analógica e Digital
Políticas e Programas Aplicados à Nutrição e Segurança Alimentar
Estágio Supervisionado em Direito II
Radioproteção e Radiobiologia
Enterprise Application Developmente
Química Farmacêutica
Microbiologia
Cálculos para Ciências da Saúde
Cenário Mundial e Globalização
Direito da Internet e Novas Tecnologias
Projeto Integrador Orientado: Tribunal do Júri
Estatística
Estágio Supervisionado em Biomedicina II
Doenças Imunopreveníveis e o Programa de Imunização
Contexto de Renovação do Serviço Social
"Família, Escola e os Desafios de Aprendizagem"
Eletiva: Psicologia da Família
Desenvolvimento Pessoal e Empregabilidade
Radioscopia e Hemodinâmica
Materiais de Construção e Técnicas Construtivas
Contabilidade de Custos
Security applied in Systems and Cloud
Ciência Política e Teoria Geral do Estado
Trabalho Final de Graduação
Leitura e Produção Textual
Ética e Responsabilidade Socioambiental
Cenografia
História da Arquitetura e Urbanismo - Idade Antiga
Interiores Residenciais
Projetos de Sinalização e Sinalética
Materiais de Construção e Técnicas Construtivas
Linguagens e Comunicação
Projeto de Arquitetura: Projeto Legal
"Apresentações, Documentos e Planilhas Básico"
Linguagens e Comunicação
"Apresentações, Documentos e Planilhas Básico"
Projetos de Sinalização e Sinalética
Projeto de Arquitetura: Projeto Legal
Materiais de Construção e Técnicas Construtivas
Interiores Residenciais
"Apresentações, Documentos e Planilhas Básico"
Interiores Residenciais
Materiais de Construção e Técnicas Construtivas
Linguagens e Comunicação
Projeto de Arquitetura: Projeto Legal
Projetos de Sinalização e Sinalética
"Gestão de Pessoas, Obras e Orçamentos"
A Extensão Curricularizada e os ODS
Casa e Arquitetura Brasileira
Smart House & Instalações Prediais
Conforto Acústico e Lighting Design
"Representações Tridimensionais, Paramétricas e BIM"
Workspaces & Interiores Corporativo
Smart House & Instalações Prediais
A Extensão Curricularizada e os ODS
"Gestão de Pessoas, Obras e Orçamentos"
Workspaces & Interiores Corporativo
Casa e Arquitetura Brasileira
Conforto Acústico e Lighting Design
"Representações Tridimensionais, Paramétricas e BIM"
Projeto de Urbanismo e Paisagismo: Cidade para Pessoas
Arquitetura High Tech e Low Tech
Estruturas de Concreto e Fundações
Projeto de Arquitetura: Diversidade de Usos
Smart Cities & Resiliência Urbana
Arquitetura High Tech e Low Tech
Estruturas de Concreto e Fundações
Projeto de Urbanismo e Paisagismo: Cidade para Pessoas
Smart Cities & Resiliência Urbana
Projeto de Arquitetura: Diversidade de Usos
ELETIVA: Psicologia das Cores
Projeto de Arquitetura: Reuso
Planejamento Urbano e Territorial
Planejamento de Urbanismo e Paisagismo: Recuperação de Áreas Degradadas
"Técnicas Retrospectivas e Patrimônio arquitetônico, urbanístico e paisagístico"
Projeto de Arquitetura: Reuso
Planejamento de Urbanismo e Paisagismo: Recuperação de Áreas Degradadas
Patologia das Construções
"Técnicas Retrospectivas e Patrimônio arquitetônico, urbanístico e paisagístico"
Planejamento Urbano e Territorial
Leitura e Produção Textual
Cenografia
História da Arquitetura e Urbanismo - Idade Antiga
Trabalho Final de Graduação
Gestão da Diversidade e Políticas de Inclusão
Anatomia Humana
Aspectos Celulares e Genéticos
Química Geral e Inorgânica
Cálculos para Ciências da Saúde
Aspectos Celulares e Genéticos
Química Geral e Inorgânica
Cálculos para Ciências da Saúde
Gestão da Diversidade e Políticas de Inclusão
Anatomia Humana
Química Geral e Inorgânica
Cálculos para Ciências da Saúde
Anatomia Humana
Aspectos Celulares e Genéticos
Gestão da Diversidade e Políticas de Inclusão
Anatomia Humana
Aspectos Celulares e Genéticos
Cálculos para Ciências da Saúde
Gestão da Diversidade e Políticas de Inclusão
Química Geral e Inorgânica
Anatomia Humana
Aspectos Celulares e Genéticos
Química Geral e Inorgânica
Cálculos para Ciências da Saúde
Gestão da Diversidade e Políticas de Inclusão
Gestão da Diversidade e Políticas de Inclusão
Química Geral e Inorgânica
Cálculos para Ciências da Saúde
Anatomia Humana
Aspectos Celulares e Genéticos
Gestão da Diversidade e Políticas de Inclusão
Cálculos para Ciências da Saúde
Anatomia Humana
Química Geral e Inorgânica
Aspectos Celulares e Genéticos
A Extensão Curricularizada e os ODS
"Apresentações, Documentos e Planilhas Básico"
Reprodução Assistida
Microbiologia e Parasitologia
Fisiologia dos Sistemas
Farmacocinética
